artwork_id,artist_id,title,year_created,medium,dimensions,description,collection_id
ART039,ARS094,Frozen Amber Silhouette,1959,Bronze sculpture,186 x 116 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL114
ART040,ARS038,Broken Blue River No. 48,1921,Oil on canvas,73 x 87 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL063
ART041,ARS038,Whispering Blue Silhouette,1916,Digital print,186 x 260 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL006
ART042,ARS085,Luminous Scarlet Horizon No. 67,1913,Oil on canvas,277 x 102 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL097
ART043,ARS150,Infinite Blue Sky No. 37,1934,Digital print,168 x 57 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL003
ART044,ARS018,Radiant Sapphire Symphony,1996,Ink on paper,179 x 227 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL098
ART045,ARS131,Misty Ivory Sea,1986,Ink on paper,75 x 125 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL129
ART046,ARS118,Melancholic Blue Forest No. 68,1924,Mixed media,200 x 280 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL041
ART047,ARS005,Frozen Ivory Symphony,1932,Oil on canvas,286 x 171 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL066
ART048,ARS100,Silent Scarlet Sky No. 44,1902,Mixed media,100 x 74 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL059
ART049,ARS107,Forgotten Indigo Echo,1938,Photograph,198 x 259 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL034
ART050,ARS053,Eternal Indigo Shadow,1928,Photograph,100 x 188 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL035
ART051,ARS111,Eternal Indigo Garden,1966,Bronze sculpture,90 x 124 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL038
ART052,ARS008,Celestial Onyx Path,1701,Acrylic on canvas,107 x 126 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL034
ART053,ARS048,Silent Indigo Landscape,2017,Ink on paper,148 x 148 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL007
ART054,ARS092,Golden Violet Echo,2008,Mixed media,221 x 124 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL126
ART055,ARS122,Eternal Emerald Horizon No. 53,2015,Mixed media,37 x 168 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL057
ART056,ARS052,Luminous Red Garden,1934,Digital print,280 x 196 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL064
ART057,ARS110,Radiant Blue Landscape,1948,Installation,190 x 231 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL010
ART058,ARS134,Misty Violet Mountain,1902,Photograph,155 x 295 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL102
ART059,ARS011,Melancholic Onyx Light,1931,Digital print,127 x 179 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL102
ART060,ARS078,Whispering Violet Garden,1943,Digital print,294 x 102 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL116
ART061,ARS024,Infinite Red Garden,1978,Mixed media,99 x 231 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL083
ART062,ARS116,Silent Emerald Mountain,2022,Acrylic on canvas,133 x 262 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL065
ART063,ARS083,Hidden Red City No. 58,1967,Photograph,215 x 73 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL099
ART064,ARS131,Hidden Onyx Shadow,2001,Installation,117 x 201 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL039
ART065,ARS042,Eternal Emerald Forest,2001,Watercolor on paper,258 x 177 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL031
ART066,ARS034,Luminous Blue Landscape,1946,Digital print,264 x 284 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL002
ART067,ARS127,Forgotten Amber Figure,1907,Acrylic on canvas,239 x 256 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL002
ART068,ARS063,Melancholic Sapphire Landscape,1914,Watercolor on paper,55 x 124 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL015
ART069,ARS090,Crimson Emerald Forest,2018,Acrylic on canvas,182 x 199 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL013
ART070,ARS028,Distant Emerald Garden,2008,Installation,120 x 263 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL093
ART071,ARS010,Golden Sapphire Silhouette,1921,Photograph,64 x 248 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL017
ART072,ARS075,Secret Emerald Dream,1998,Mixed media,198 x 299 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL054
ART073,ARS054,Crimson Red Figure,2004,Installation,74 x 277 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL074
ART074,ARS110,Celestial Sapphire Light,1945,Photograph,96 x 284 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL128
ART075,ARS127,Hidden Indigo River,1890,Oil on canvas,30 x 90 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL120
ART076,ARS031,Luminous Indigo Path,1977,Oil on canvas,209 x 138 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL052
ART077,ARS073,Vibrant Red Memory,1947,Acrylic on canvas,195 x 33 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL086
ART078,ARS088,Radiant Indigo Landscape,2001,Bronze sculpture,129 x 199 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL123
ART079,ARS122,Crimson Emerald Sea No. 59,2001,Mixed media,201 x 266 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL015
ART080,ARS134,Whispering Indigo Silhouette,1899,Bronze sculpture,136 x 199 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL017
ART081,ARS039,Vibrant Blue Silhouette,1997,Watercolor on paper,114 x 229 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL030
ART082,ARS079,Celestial Blue Sky,1998,Digital print,151 x 220 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL078
ART083,ARS056,Infinite Sapphire Garden No. 5,2022,Digital print,133 x 77 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL130
ART084,ARS007,Secret Scarlet Echo No. 62,1701,Acrylic on canvas,197 x 103 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL034
ART085,ARS053,Crimson Violet Reflection,1969,Marble sculpture,89 x 32 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL012
ART086,ARS023,Celestial Violet Forest No. 40,1976,Bronze sculpture,189 x 137 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL052
ART087,ARS050,Whispering Sapphire Shadow,2000,Watercolor on paper,90 x 169 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL041
ART088,ARS071,Misty Blue Landscape,1923,Photograph,135 x 209 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL082
ART089,ARS070,Eternal Sapphire Figure No. 10,1973,Oil on canvas,203 x 257 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL034
ART090,ARS008,Secret Blue Dream,1700,Watercolor on paper,248 x 230 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL115
ART091,ARS092,Whispering Ivory Horizon,1958,Acrylic on canvas,268 x 97 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL120
ART092,ARS025,Broken Sapphire Mountain,1965,Installation,144 x 103 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL067
ART093,ARS094,Radiant Emerald Silhouette,1997,Oil on canvas,262 x 279 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL017
ART094,ARS122,Hidden Sapphire Symphony,1975,Mixed media,290 x 82 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL028
ART095,ARS084,Melancholic Red Memory,1963,Installation,241 x 152 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL063
ART096,ARS141,Hidden Violet Reflection No. 27,2016,Installation,250 x 252 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL088
ART097,ARS140,Forgotten Emerald City,2004,Installation,279 x 88 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL119
ART098,ARS084,Melancholic Red Mountain No. 52,1920,Bronze sculpture,85 x 224 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL127
ART099,ARS016,Golden Amber Echo,2023,Watercolor on paper,30 x 105 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL116
ART100,ARS137,Whispering Onyx Landscape,1919,Marble sculpture,135 x 192 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL078
ART101,ARS112,Frozen Red Figure No. 66,1998,Oil on canvas,95 x 180 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL095
ART102,ARS141,Crimson Blue Shadow,1994,Oil on canvas,86 x 174 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL061
ART103,ARS111,Shimmering Onyx Silhouette,1956,Photograph,225 x 252 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL055
ART104,ARS045,Secret Emerald Horizon,1965,Marble sculpture,243 x 108 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL033
ART105,ARS035,Silent Red Harbor No. 63,2023,Acrylic on canvas,253 x 99 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL036
ART106,ARS107,Broken Indigo Path,1957,Photograph,290 x 247 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL116
ART107,ARS099,Frozen Amber Garden,1948,Photograph,285 x 151 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL069
ART108,ARS106,Melancholic Indigo Symphony No. 5,1959,Acrylic on canvas,277 x 218 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL124
ART109,ARS021,Eternal Scarlet Sky,1995,Ink on paper,297 x 75 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL121
ART110,ARS020,Melancholic Indigo Memory,2013,Digital print,35 x 270 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL121
ART111,ARS147,Celestial Onyx Symphony,2014,Watercolor on paper,180 x 178 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL010
ART112,ARS078,Shimmering Sapphire Forest,1977,Marble sculpture,116 x 56 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL007
ART113,ARS074,Secret Red Echo,1951,Installation,159 x 97 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL072
ART114,ARS071,Vibrant Blue Dream,1985,Bronze sculpture,107 x 258 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL045
ART115,ARS067,Forgotten Violet Garden,1918,Watercolor on paper,205 x 73 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL040
ART116,ARS127,Distant Onyx River,1924,Installation,115 x 137 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL089
ART117,ARS014,Vibrant Red Forest No. 52,1947,Photograph,184 x 273 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL060
ART118,ARS098,Radiant Violet Sky No. 56,1985,Mixed media,177 x 259 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL081
ART119,ARS136,Crimson Red Shadow,1944,Marble sculpture,169 x 201 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL069
ART120,ARS026,Vibrant Indigo Reflection,1915,Bronze sculpture,129 x 296 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL047
ART121,ARS081,Melancholic Blue Harbor,1928,Photograph,240 x 80 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL027
ART122,ARS115,Frozen Amber Memory,2007,Oil on canvas,42 x 77 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL056
ART123,ARS032,Misty Red Landscape No. 73,2022,Watercolor on paper,124 x 86 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL065
ART124,ARS076,Broken Red Mountain,1887,Marble sculpture,248 x 195 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL042
ART125,ARS019,Vibrant Blue Reflection,2009,Watercolor on paper,162 x 165 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL113
ART126,ARS018,Secret Amber Landscape,2016,Watercolor on paper,281 x 85 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL111
ART127,ARS056,Misty Violet Sky No. 10,2011,Oil on canvas,158 x 258 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL128
ART128,ARS039,Silent Blue Reflection,2006,Installation,198 x 230 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL001
ART129,ARS132,Secret Violet Path,2022,Oil on canvas,65 x 145 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL099
ART130,ARS124,Misty Indigo Shadow,1939,Mixed media,200 x 185 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL015
ART131,ARS024,Frozen Scarlet Silhouette No. 59,1962,Photograph,133 x 120 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL011
ART132,ARS099,Luminous Sapphire Reflection,1993,Digital print,279 x 73 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL049
ART133,ARS036,Crimson Amber Harbor,1953,Mixed media,152 x 280 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL017
ART134,ARS139,Whispering Violet Shadow,2013,Bronze sculpture,38 x 48 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL015
ART135,ARS087,Crimson Onyx Dream No. 67,1984,Acrylic on canvas,106 x 149 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL010
ART136,ARS037,Secret Blue Sea,2018,Watercolor on paper,53 x 154 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL004
ART137,ARS045,Crimson Sapphire Dream,1916,Acrylic on canvas,62 x 84 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL128
ART138,ARS057,Golden Amber Path,2020,Acrylic on canvas,235 x 196 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL036
ART139,ARS083,Luminous Blue Figure No. 9,1934,Mixed media,170 x 102 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL044
ART140,ARS095,Melancholic Emerald Mountain No. 75,1880,Installation,98 x 81 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL097
ART141,ARS041,Silent Violet City No. 23,1999,Digital print,175 x 243 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL033
ART142,ARS053,Eternal Sapphire Light,1933,Installation,119 x 49 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL047
ART143,ARS128,Golden Sapphire Symphony,2010,Acrylic on canvas,150 x 128 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL025
ART144,ARS093,Melancholic Scarlet River,2021,Oil on canvas,136 x 171 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL050
ART145,ARS029,Eternal Violet Sea No. 6,1978,Ink on paper,216 x 175 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL112
ART146,ARS065,Celestial Indigo Mountain No. 7,2013,Oil on canvas,120 x 110 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL125
ART147,ARS132,Misty Red River,2020,Ink on paper,196 x 244 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL084
ART148,ARS059,Misty Ivory River No. 53,1955,Acrylic on canvas,222 x 142 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL121
ART149,ARS150,Secret Blue Path No. 79,1967,Bronze sculpture,121 x 228 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL035
ART150,ARS118,Luminous Ivory Sky No. 17,1907,Watercolor on paper,60 x 173 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL029
ART151,ARS120,Broken Onyx Garden,1987,Installation,181 x 110 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL044
ART152,ARS148,Melancholic Amber City,1965,Installation,280 x 140 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL122
ART153,ARS119,Vibrant Blue Path,1947,Mixed media,156 x 197 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL057
ART154,ARS039,Shimmering Blue Path,1922,Oil on canvas,270 x 288 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL109
ART155,ARS136,Radiant Violet Dream,1932,Mixed media,72 x 36 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL056
ART156,ARS034,Frozen Sapphire River,1956,Marble sculpture,38 x 275 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL042
ART157,ARS118,Shimmering Indigo Harbor,1934,Watercolor on paper,100 x 237 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL095
ART158,ARS119,Silent Red Reflection,1953,Mixed media,46 x 181 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL070
ART159,ARS139,Shimmering Amber City,2006,Bronze sculpture,58 x 293 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL014
ART160,ARS029,Radiant Ivory Mountain,1998,Photograph,217 x 119 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL018
ART161,ARS144,Luminous Emerald Silhouette No. 15,2003,Bronze sculpture,137 x 145 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL091
ART162,ARS069,Infinite Onyx Sky No. 48,1988,Photograph,261 x 278 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL032
ART163,ARS121,Melancholic Scarlet Memory,2016,Digital print,63 x 126 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL023
ART164,ARS021,Radiant Emerald Memory,1994,Marble sculpture,85 x 114 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL029
ART165,ARS038,Silent Sapphire Path,1971,Bronze sculpture,97 x 272 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL108
ART166,ARS114,Silent Sapphire Horizon No. 30,2022,Installation,201 x 240 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL088
ART167,ARS084,Secret Indigo Light,1968,Installation,264 x 185 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL034
ART168,ARS079,Hidden Sapphire River,1971,Bronze sculpture,54 x 105 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL073
ART169,ARS117,Hidden Indigo Garden,1994,Watercolor on paper,123 x 119 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL042
ART170,ARS061,Misty Blue Silhouette,1972,Watercolor on paper,163 x 219 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL053
ART171,ARS144,Crimson Ivory Symphony No. 58,2011,Acrylic on canvas,113 x 184 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL007
ART172,ARS104,Secret Emerald Mountain,2012,Bronze sculpture,32 x 289 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL076
ART173,ARS122,Whispering Indigo Echo,2013,Acrylic on canvas,256 x 203 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL123
ART174,ARS011,Eternal Scarlet Dream,1942,Bronze sculpture,142 x 258 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL024
ART175,ARS084,Crimson Indigo Horizon,1940,Oil on canvas,172 x 130 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL022
ART176,ARS138,Broken Red Light,1925,Oil on canvas,192 x 291 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL093
ART177,ARS102,Eternal Onyx Symphony,1984,Bronze sculpture,175 x 206 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL079
ART178,ARS115,Melancholic Red Horizon,2020,Marble sculpture,242 x 256 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL042
ART179,ARS109,Distant Emerald Figure,1987,Digital print,136 x 185 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL086
ART180,ARS017,Shimmering Onyx City No. 35,2011,Installation,119 x 266 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL036
ART181,ARS052,Hidden Onyx Memory,1908,Digital print,184 x 185 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL119
ART182,ARS058,Silent Blue Echo,1998,Marble sculpture,271 x 93 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL107
ART183,ARS046,Secret Amber Harbor No. 36,1933,Installation,64 x 215 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL124
ART184,ARS145,Distant Sapphire Sea,1987,Installation,221 x 292 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL005
ART185,ARS067,Hidden Indigo Forest No. 60,1924,Oil on canvas,212 x 113 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL070
ART186,ARS093,Distant Ivory Forest,2017,Ink on paper,69 x 293 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL047
ART187,ARS025,Hidden Scarlet Silhouette,1957,Bronze sculpture,184 x 168 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL025
ART188,ARS137,Shimmering Ivory Echo No. 67,1941,Mixed media,220 x 278 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL088
