treatment_id,artwork_id,treatment_type,start_date,end_date,cost_usd,treatment_notes,staff_id
TRT013,ART353,Structural Stabilization,2017-12-12,2018-03-13,14280.56,Structural Stabilization carried out due to previous restoration discoloration; treatment resulted in secured structural support. Documentation and photographs were added to the conservation record.,STF372
TRT014,ART212,Structural Stabilization,2012-10-03,2012-11-26,11598.91,Structural Stabilization carried out due to panel cracking; treatment resulted in enhanced color balance. Documentation and photographs were added to the conservation record.,STF443
TRT015,ART101,Deacidification,2019-03-25,2019-07-02,11161.41,Deacidification carried out due to yellowed varnish; treatment resulted in stabilized paint layers. Documentation and photographs were added to the conservation record.,STF166
TRT016,ART688,Re-framing,2019-11-08,2020-02-07,26439.4,Re-framing carried out due to previous restoration discoloration; treatment resulted in removed active infestation. Documentation and photographs were added to the conservation record.,STF266
TRT017,ART547,Structural Stabilization,2014-07-10,2014-08-17,8504.06,Structural Stabilization carried out due to panel cracking; treatment resulted in reduced visual distraction. Documentation and photographs were added to the conservation record.,STF282
TRT018,ART796,Pest Treatment,2020-09-25,2020-12-25,31124.84,Pest Treatment carried out due to surface dust and grime; treatment resulted in reduced surface gloss variations. Documentation and photographs were added to the conservation record.,STF079
TRT019,ART798,Re-framing,2015-12-03,2016-03-05,3980.61,Re-framing carried out due to flaking paint layers; treatment resulted in minimized future deterioration risk. Documentation and photographs were added to the conservation record.,STF338
TRT020,ART480,Pest Treatment,2019-12-15,2020-02-07,15473.48,Pest Treatment carried out due to frame instability; treatment resulted in reduced visual distraction. Documentation and photographs were added to the conservation record.,STF384
TRT021,ART831,Deacidification,2019-03-24,2019-07-05,30235.02,Deacidification carried out due to panel cracking; treatment resulted in stabilized paint layers. Documentation and photographs were added to the conservation record.,STF478
TRT022,ART543,Re-framing,2013-01-26,2013-03-18,6299.31,Re-framing carried out due to yellowed varnish; treatment resulted in stabilized paint layers. Documentation and photographs were added to the conservation record.,STF555
TRT023,ART935,Structural Stabilization,2017-02-06,2017-04-05,14374.18,Structural Stabilization carried out due to frame instability; treatment resulted in reduced visual distraction. Documentation and photographs were added to the conservation record.,STF322
TRT024,ART626,Surface Cleaning,2023-03-21,2023-07-17,19497.89,Surface Cleaning carried out due to acidic backing board; treatment resulted in removed active infestation. Documentation and photographs were added to the conservation record.,STF031
TRT025,ART380,Inpainting,2016-12-30,2017-03-01,15396.74,Inpainting carried out due to canvas deformation; treatment resulted in removed active infestation. Documentation and photographs were added to the conservation record.,STF332
TRT026,ART265,Surface Cleaning,2015-02-18,2015-05-03,9323.7,Surface Cleaning carried out due to canvas deformation; treatment resulted in minimized future deterioration risk. Documentation and photographs were added to the conservation record.,STF045
TRT027,ART063,Structural Stabilization,2016-07-13,2016-10-31,2862.77,Structural Stabilization carried out due to surface dust and grime; treatment resulted in improved legibility of image. Documentation and photographs were added to the conservation record.,STF284
TRT028,ART145,Pest Treatment,2012-02-28,2012-05-12,25412.76,Pest Treatment carried out due to light damage and fading; treatment resulted in reduced surface gloss variations. Documentation and photographs were added to the conservation record.,STF051
TRT029,ART701,Deacidification,2022-09-17,2022-11-11,22231.56,Deacidification carried out due to biological contamination; treatment resulted in minimized future deterioration risk. Documentation and photographs were added to the conservation record.,STF410
TRT030,ART265,Re-framing,2015-07-28,2015-10-05,15884.04,Re-framing carried out due to frame instability; treatment resulted in secured structural support. Documentation and photographs were added to the conservation record.,STF253
TRT031,ART040,Structural Stabilization,2023-03-17,2023-05-23,28254.81,Structural Stabilization carried out due to acidic backing board; treatment resulted in enhanced color balance. Documentation and photographs were added to the conservation record.,STF258
TRT032,ART182,Structural Stabilization,2023-06-05,2023-09-22,22631.05,Structural Stabilization carried out due to biological contamination; treatment resulted in reduced visual distraction. Documentation and photographs were added to the conservation record.,STF251
TRT033,ART543,Varnish Removal,2021-07-05,2021-10-17,28415.26,Varnish Removal carried out due to biological contamination; treatment resulted in stabilized paint layers. Documentation and photographs were added to the conservation record.,STF412
TRT034,ART656,Pest Treatment,2014-12-30,2015-02-07,34263.65,Pest Treatment carried out due to flaking paint layers; treatment resulted in secured structural support. Documentation and photographs were added to the conservation record.,STF094
TRT035,ART209,Deacidification,2017-01-08,2017-01-19,12613.89,Deacidification carried out due to biological contamination; treatment resulted in reduced visual distraction. Documentation and photographs were added to the conservation record.,STF472
TRT036,ART345,Varnish Removal,2015-07-08,2015-08-05,15676.29,Varnish Removal carried out due to panel cracking; treatment resulted in removed active infestation. Documentation and photographs were added to the conservation record.,STF326
TRT037,ART505,Structural Stabilization,2016-05-02,2016-06-23,13922.2,Structural Stabilization carried out due to panel cracking; treatment resulted in reduced surface gloss variations. Documentation and photographs were added to the conservation record.,STF146
TRT038,ART079,Surface Cleaning,2020-05-26,2020-07-15,27407.61,Surface Cleaning carried out due to acidic backing board; treatment resulted in enhanced color balance. Documentation and photographs were added to the conservation record.,STF508
TRT039,ART350,Deacidification,2015-06-21,2015-09-08,27144.82,Deacidification carried out due to canvas deformation; treatment resulted in reduced visual distraction. Documentation and photographs were added to the conservation record.,STF081
TRT040,ART496,Inpainting,2015-06-10,2015-08-20,4807.93,Inpainting carried out due to frame instability; treatment resulted in removed active infestation. Documentation and photographs were added to the conservation record.,STF387
TRT041,ART781,Surface Cleaning,2023-10-28,2023-12-13,24112.37,Surface Cleaning carried out due to frame instability; treatment resulted in minimized future deterioration risk. Documentation and photographs were added to the conservation record.,STF176
TRT042,ART079,Varnish Removal,2020-05-04,2020-07-23,19820.13,Varnish Removal carried out due to acidic backing board; treatment resulted in stabilized paint layers. Documentation and photographs were added to the conservation record.,STF336
TRT043,ART653,Surface Cleaning,2018-10-12,2018-12-14,30042.08,Surface Cleaning carried out due to surface dust and grime; treatment resulted in reduced surface gloss variations. Documentation and photographs were added to the conservation record.,STF182
TRT044,ART387,Varnish Removal,2023-02-14,2023-05-04,24332.44,Varnish Removal carried out due to flaking paint layers; treatment resulted in enhanced color balance. Documentation and photographs were added to the conservation record.,STF032
TRT045,ART387,Varnish Removal,2011-01-20,2011-03-08,9275.67,Varnish Removal carried out due to acidic backing board; treatment resulted in enhanced color balance. Documentation and photographs were added to the conservation record.,STF327
TRT046,ART505,Structural Stabilization,2020-04-27,2020-05-07,9521.17,Structural Stabilization carried out due to flaking paint layers; treatment resulted in improved legibility of image. Documentation and photographs were added to the conservation record.,STF101
TRT047,ART688,Pest Treatment,2012-09-24,2013-01-15,18570.94,Pest Treatment carried out due to panel cracking; treatment resulted in stabilized paint layers. Documentation and photographs were added to the conservation record.,STF024
TRT048,ART771,Pest Treatment,2013-08-08,2013-11-07,15500.86,Pest Treatment carried out due to canvas deformation; treatment resulted in enhanced color balance. Documentation and photographs were added to the conservation record.,STF485
TRT049,ART531,Varnish Removal,2011-09-07,2011-10-05,32854.75,Varnish Removal carried out due to panel cracking; treatment resulted in minimized future deterioration risk. Documentation and photographs were added to the conservation record.,STF223
TRT050,ART277,Re-framing,2018-04-18,2018-08-13,10363.11,Re-framing carried out due to yellowed varnish; treatment resulted in reduced surface gloss variations. Documentation and photographs were added to the conservation record.,STF032
TRT051,ART669,Re-framing,2016-08-19,2016-09-04,31651.25,Re-framing carried out due to acidic backing board; treatment resulted in improved legibility of image. Documentation and photographs were added to the conservation record.,STF239
TRT052,ART956,Inpainting,2020-12-11,2021-01-08,22526.01,Inpainting carried out due to panel cracking; treatment resulted in improved legibility of image. Documentation and photographs were added to the conservation record.,STF367
TRT053,ART185,Structural Stabilization,2011-10-12,2012-01-07,24714.59,Structural Stabilization carried out due to frame instability; treatment resulted in reduced surface gloss variations. Documentation and photographs were added to the conservation record.,STF323
TRT054,ART212,Surface Cleaning,2018-12-23,2019-03-19,2153.21,Surface Cleaning carried out due to canvas deformation; treatment resulted in stabilized paint layers. Documentation and photographs were added to the conservation record.,STF047
TRT055,ART568,Varnish Removal,2014-05-27,2014-06-07,2625.26,Varnish Removal carried out due to frame instability; treatment resulted in reduced surface gloss variations. Documentation and photographs were added to the conservation record.,STF501
TRT056,ART913,Inpainting,2013-02-16,2013-05-30,26845.14,Inpainting carried out due to yellowed varnish; treatment resulted in enhanced color balance. Documentation and photographs were added to the conservation record.,STF348
TRT057,ART019,Pest Treatment,2010-03-08,2010-04-20,24046.4,Pest Treatment carried out due to light damage and fading; treatment resulted in reduced surface gloss variations. Documentation and photographs were added to the conservation record.,STF245
TRT058,ART015,Surface Cleaning,2020-01-28,2020-03-11,5309.0,Surface Cleaning carried out due to previous restoration discoloration; treatment resulted in improved legibility of image. Documentation and photographs were added to the conservation record.,STF162
TRT059,ART547,Pest Treatment,2012-01-18,2012-04-28,8530.41,Pest Treatment carried out due to canvas deformation; treatment resulted in reduced surface gloss variations. Documentation and photographs were added to the conservation record.,STF267
TRT060,ART150,Re-framing,2015-05-07,2015-07-21,29537.93,Re-framing carried out due to flaking paint layers; treatment resulted in reduced surface gloss variations. Documentation and photographs were added to the conservation record.,STF532
TRT061,ART001,Re-framing,2012-07-26,2012-10-15,29032.67,Re-framing carried out due to panel cracking; treatment resulted in stabilized paint layers. Documentation and photographs were added to the conservation record.,STF356
TRT062,ART338,Inpainting,2020-02-16,2020-05-19,30957.22,Inpainting carried out due to flaking paint layers; treatment resulted in stabilized paint layers. Documentation and photographs were added to the conservation record.,STF040
TRT063,ART895,Pest Treatment,2022-01-25,2022-05-25,3697.19,Pest Treatment carried out due to surface dust and grime; treatment resulted in removed active infestation. Documentation and photographs were added to the conservation record.,STF004
TRT064,ART865,Structural Stabilization,2023-03-06,2023-06-26,32797.5,Structural Stabilization carried out due to light damage and fading; treatment resulted in minimized future deterioration risk. Documentation and photographs were added to the conservation record.,STF288
TRT065,ART545,Pest Treatment,2015-01-07,2015-03-24,22533.55,Pest Treatment carried out due to yellowed varnish; treatment resulted in stabilized paint layers. Documentation and photographs were added to the conservation record.,STF507
TRT066,ART524,Deacidification,2010-12-08,2011-01-25,11882.76,Deacidification carried out due to light damage and fading; treatment resulted in secured structural support. Documentation and photographs were added to the conservation record.,STF044
TRT067,ART100,Re-framing,2023-03-16,2023-04-16,25195.35,Re-framing carried out due to yellowed varnish; treatment resulted in reduced visual distraction. Documentation and photographs were added to the conservation record.,STF198
TRT068,ART065,Structural Stabilization,2016-09-02,2016-12-23,16298.47,Structural Stabilization carried out due to frame instability; treatment resulted in secured structural support. Documentation and photographs were added to the conservation record.,STF229
TRT069,ART605,Re-framing,2013-08-02,2013-08-16,29832.84,Re-framing carried out due to frame instability; treatment resulted in minimized future deterioration risk. Documentation and photographs were added to the conservation record.,STF425
TRT070,ART766,Structural Stabilization,2021-12-11,2022-03-24,19853.22,Structural Stabilization carried out due to acidic backing board; treatment resulted in reduced surface gloss variations. Documentation and photographs were added to the conservation record.,STF105
TRT071,ART135,Inpainting,2012-01-01,2012-03-09,30080.18,Inpainting carried out due to surface dust and grime; treatment resulted in reduced surface gloss variations. Documentation and photographs were added to the conservation record.,STF430
TRT072,ART357,Re-framing,2012-06-16,2012-08-04,10495.71,Re-framing carried out due to frame instability; treatment resulted in removed active infestation. Documentation and photographs were added to the conservation record.,STF392
TRT073,ART601,Surface Cleaning,2017-03-28,2017-06-22,17167.36,Surface Cleaning carried out due to light damage and fading; treatment resulted in minimized future deterioration risk. Documentation and photographs were added to the conservation record.,STF098
TRT074,ART911,Inpainting,2015-10-19,2015-12-09,1079.75,Inpainting carried out due to surface dust and grime; treatment resulted in removed active infestation. Documentation and photographs were added to the conservation record.,STF391
TRT075,ART087,Varnish Removal,2016-03-20,2016-06-09,30886.89,Varnish Removal carried out due to previous restoration discoloration; treatment resulted in secured structural support. Documentation and photographs were added to the conservation record.,STF023
TRT076,ART762,Structural Stabilization,2015-07-14,2015-08-15,1940.97,Structural Stabilization carried out due to light damage and fading; treatment resulted in reduced surface gloss variations. Documentation and photographs were added to the conservation record.,STF323
TRT077,ART992,Structural Stabilization,2017-07-27,2017-09-22,17321.96,Structural Stabilization carried out due to previous restoration discoloration; treatment resulted in removed active infestation. Documentation and photographs were added to the conservation record.,STF242
TRT078,ART260,Inpainting,2013-08-15,2013-10-13,15661.54,Inpainting carried out due to yellowed varnish; treatment resulted in enhanced color balance. Documentation and photographs were added to the conservation record.,STF135
TRT079,ART593,Deacidification,2021-08-28,2021-12-04,19798.54,Deacidification carried out due to biological contamination; treatment resulted in enhanced color balance. Documentation and photographs were added to the conservation record.,STF482
TRT080,ART961,Inpainting,2010-04-20,2010-06-13,21562.51,Inpainting carried out due to previous restoration discoloration; treatment resulted in secured structural support. Documentation and photographs were added to the conservation record.,STF435
TRT081,ART698,Surface Cleaning,2015-10-04,2016-01-27,19572.34,Surface Cleaning carried out due to surface dust and grime; treatment resulted in stabilized paint layers. Documentation and photographs were added to the conservation record.,STF445
TRT082,ART624,Inpainting,2010-02-28,2010-05-05,15456.94,Inpainting carried out due to previous restoration discoloration; treatment resulted in reduced surface gloss variations. Documentation and photographs were added to the conservation record.,STF252
TRT083,ART973,Structural Stabilization,2016-12-22,2017-01-13,1030.42,Structural Stabilization carried out due to surface dust and grime; treatment resulted in enhanced color balance. Documentation and photographs were added to the conservation record.,STF388
TRT084,ART853,Pest Treatment,2010-05-29,2010-06-15,9839.08,Pest Treatment carried out due to canvas deformation; treatment resulted in secured structural support. Documentation and photographs were added to the conservation record.,STF480
TRT085,ART643,Inpainting,2022-06-30,2022-08-14,24434.48,Inpainting carried out due to canvas deformation; treatment resulted in secured structural support. Documentation and photographs were added to the conservation record.,STF048
TRT086,ART876,Pest Treatment,2016-12-19,2017-04-04,18629.2,Pest Treatment carried out due to frame instability; treatment resulted in reduced surface gloss variations. Documentation and photographs were added to the conservation record.,STF035
TRT087,ART956,Structural Stabilization,2013-05-04,2013-06-01,19362.71,Structural Stabilization carried out due to canvas deformation; treatment resulted in improved legibility of image. Documentation and photographs were added to the conservation record.,STF308
TRT088,ART281,Re-framing,2012-11-03,2012-12-29,11579.74,Re-framing carried out due to flaking paint layers; treatment resulted in minimized future deterioration risk. Documentation and photographs were added to the conservation record.,STF270
TRT089,ART701,Varnish Removal,2012-03-24,2012-04-02,3853.4,Varnish Removal carried out due to canvas deformation; treatment resulted in stabilized paint layers. Documentation and photographs were added to the conservation record.,STF533
TRT090,ART375,Pest Treatment,2011-11-11,2012-01-03,3667.33,Pest Treatment carried out due to canvas deformation; treatment resulted in improved legibility of image. Documentation and photographs were added to the conservation record.,STF318
TRT091,ART309,Inpainting,2016-10-25,2017-02-10,7185.7,Inpainting carried out due to surface dust and grime; treatment resulted in reduced visual distraction. Documentation and photographs were added to the conservation record.,STF169
TRT092,ART877,Pest Treatment,2018-01-26,2018-05-09,3999.75,Pest Treatment carried out due to flaking paint layers; treatment resulted in improved legibility of image. Documentation and photographs were added to the conservation record.,STF288
TRT093,ART965,Inpainting,2010-07-18,2010-09-03,4579.7,Inpainting carried out due to biological contamination; treatment resulted in reduced surface gloss variations. Documentation and photographs were added to the conservation record.,STF397
TRT094,ART286,Deacidification,2010-09-30,2011-01-27,2936.23,Deacidification carried out due to acidic backing board; treatment resulted in improved legibility of image. Documentation and photographs were added to the conservation record.,STF434
TRT095,ART576,Varnish Removal,2012-01-02,2012-04-28,4728.42,Varnish Removal carried out due to acidic backing board; treatment resulted in stabilized paint layers. Documentation and photographs were added to the conservation record.,STF138
TRT096,ART878,Deacidification,2013-12-26,2014-03-08,16760.93,Deacidification carried out due to surface dust and grime; treatment resulted in secured structural support. Documentation and photographs were added to the conservation record.,STF514
TRT097,ART902,Pest Treatment,2020-01-24,2020-05-07,3901.69,Pest Treatment carried out due to panel cracking; treatment resulted in reduced surface gloss variations. Documentation and photographs were added to the conservation record.,STF304
TRT098,ART310,Surface Cleaning,2010-04-20,2010-05-10,6798.54,Surface Cleaning carried out due to yellowed varnish; treatment resulted in improved legibility of image. Documentation and photographs were added to the conservation record.,STF186
TRT099,ART521,Pest Treatment,2019-04-15,2019-08-11,19018.11,Pest Treatment carried out due to biological contamination; treatment resulted in secured structural support. Documentation and photographs were added to the conservation record.,STF189
TRT100,ART090,Re-framing,2013-04-28,2013-07-30,16201.71,Re-framing carried out due to surface dust and grime; treatment resulted in stabilized paint layers. Documentation and photographs were added to the conservation record.,STF084
TRT101,ART372,Varnish Removal,2011-03-30,2011-06-03,12076.18,Varnish Removal carried out due to frame instability; treatment resulted in minimized future deterioration risk. Documentation and photographs were added to the conservation record.,STF347
TRT102,ART668,Re-framing,2016-08-28,2016-12-22,2989.44,Re-framing carried out due to previous restoration discoloration; treatment resulted in reduced visual distraction. Documentation and photographs were added to the conservation record.,STF530
TRT103,ART500,Structural Stabilization,2013-10-09,2014-01-21,19173.81,Structural Stabilization carried out due to frame instability; treatment resulted in improved legibility of image. Documentation and photographs were added to the conservation record.,STF295
TRT104,ART304,Inpainting,2016-07-18,2016-08-30,24245.56,Inpainting carried out due to light damage and fading; treatment resulted in secured structural support. Documentation and photographs were added to the conservation record.,STF008
TRT105,ART920,Structural Stabilization,2022-03-05,2022-06-13,9674.88,Structural Stabilization carried out due to surface dust and grime; treatment resulted in secured structural support. Documentation and photographs were added to the conservation record.,STF295
TRT106,ART697,Re-framing,2020-09-06,2020-12-24,13199.27,Re-framing carried out due to panel cracking; treatment resulted in reduced visual distraction. Documentation and photographs were added to the conservation record.,STF360
TRT107,ART110,Inpainting,2015-06-13,2015-07-05,7930.75,Inpainting carried out due to acidic backing board; treatment resulted in stabilized paint layers. Documentation and photographs were added to the conservation record.,STF145
TRT108,ART824,Deacidification,2023-06-16,2023-09-26,21514.82,Deacidification carried out due to light damage and fading; treatment resulted in secured structural support. Documentation and photographs were added to the conservation record.,STF307
TRT109,ART699,Varnish Removal,2014-05-06,2014-08-18,6445.24,Varnish Removal carried out due to canvas deformation; treatment resulted in removed active infestation. Documentation and photographs were added to the conservation record.,STF060
TRT110,ART501,Surface Cleaning,2014-09-29,2015-01-09,17436.34,Surface Cleaning carried out due to yellowed varnish; treatment resulted in improved legibility of image. Documentation and photographs were added to the conservation record.,STF288
TRT111,ART455,Surface Cleaning,2012-01-06,2012-01-22,6756.91,Surface Cleaning carried out due to previous restoration discoloration; treatment resulted in reduced surface gloss variations. Documentation and photographs were added to the conservation record.,STF328
TRT112,ART183,Inpainting,2020-01-31,2020-03-26,22898.03,Inpainting carried out due to acidic backing board; treatment resulted in reduced surface gloss variations. Documentation and photographs were added to the conservation record.,STF290
TRT113,ART470,Deacidification,2011-02-28,2011-04-25,26665.07,Deacidification carried out due to biological contamination; treatment resulted in removed active infestation. Documentation and photographs were added to the conservation record.,STF353
TRT114,ART079,Surface Cleaning,2019-10-03,2019-11-07,31552.05,Surface Cleaning carried out due to light damage and fading; treatment resulted in reduced surface gloss variations. Documentation and photographs were added to the conservation record.,STF270
TRT115,ART078,Pest Treatment,2010-03-29,2010-04-05,15452.42,Pest Treatment carried out due to biological contamination; treatment resulted in stabilized paint layers. Documentation and photographs were added to the conservation record.,STF059
TRT116,ART672,Surface Cleaning,2019-05-30,2019-07-14,1040.46,Surface Cleaning carried out due to previous restoration discoloration; treatment resulted in improved legibility of image. Documentation and photographs were added to the conservation record.,STF083
TRT117,ART750,Surface Cleaning,2012-03-07,2012-05-27,19305.19,Surface Cleaning carried out due to previous restoration discoloration; treatment resulted in reduced visual distraction. Documentation and photographs were added to the conservation record.,STF477
TRT118,ART382,Re-framing,2013-04-13,2013-07-04,31558.03,Re-framing carried out due to flaking paint layers; treatment resulted in stabilized paint layers. Documentation and photographs were added to the conservation record.,STF327
TRT119,ART979,Structural Stabilization,2014-05-01,2014-05-30,14775.73,Structural Stabilization carried out due to yellowed varnish; treatment resulted in reduced visual distraction. Documentation and photographs were added to the conservation record.,STF222
TRT120,ART608,Structural Stabilization,2011-08-05,2011-08-13,32278.8,Structural Stabilization carried out due to canvas deformation; treatment resulted in reduced surface gloss variations. Documentation and photographs were added to the conservation record.,STF080
TRT121,ART994,Surface Cleaning,2016-09-02,2016-09-27,9480.69,Surface Cleaning carried out due to frame instability; treatment resulted in secured structural support. Documentation and photographs were added to the conservation record.,STF369
TRT122,ART287,Structural Stabilization,2014-04-12,2014-04-23,27612.83,Structural Stabilization carried out due to frame instability; treatment resulted in improved legibility of image. Documentation and photographs were added to the conservation record.,STF340
TRT123,ART303,Pest Treatment,2013-12-07,2014-03-28,23968.27,Pest Treatment carried out due to light damage and fading; treatment resulted in stabilized paint layers. Documentation and photographs were added to the conservation record.,STF063
TRT124,ART998,Inpainting,2019-04-11,2019-08-08,25293.19,Inpainting carried out due to flaking paint layers; treatment resulted in improved legibility of image. Documentation and photographs were added to the conservation record.,STF059
TRT125,ART346,Inpainting,2023-07-24,2023-11-14,11562.19,Inpainting carried out due to acidic backing board; treatment resulted in stabilized paint layers. Documentation and photographs were added to the conservation record.,STF382
TRT126,ART126,Pest Treatment,2021-11-14,2021-11-24,7049.1,Pest Treatment carried out due to acidic backing board; treatment resulted in secured structural support. Documentation and photographs were added to the conservation record.,STF471
TRT127,ART800,Surface Cleaning,2020-11-05,2021-01-06,20770.9,Surface Cleaning carried out due to light damage and fading; treatment resulted in improved legibility of image. Documentation and photographs were added to the conservation record.,STF179
TRT128,ART391,Re-framing,2017-02-21,2017-06-19,29609.1,Re-framing carried out due to light damage and fading; treatment resulted in reduced surface gloss variations. Documentation and photographs were added to the conservation record.,STF068
TRT129,ART689,Structural Stabilization,2020-10-09,2020-12-01,30798.01,Structural Stabilization carried out due to light damage and fading; treatment resulted in reduced surface gloss variations. Documentation and photographs were added to the conservation record.,STF074
TRT130,ART212,Re-framing,2019-02-09,2019-04-16,30659.03,Re-framing carried out due to biological contamination; treatment resulted in secured structural support. Documentation and photographs were added to the conservation record.,STF251
TRT131,ART440,Surface Cleaning,2011-06-05,2011-08-18,3844.82,Surface Cleaning carried out due to canvas deformation; treatment resulted in reduced visual distraction. Documentation and photographs were added to the conservation record.,STF280
TRT132,ART770,Re-framing,2012-11-25,2012-12-29,23645.75,Re-framing carried out due to frame instability; treatment resulted in stabilized paint layers. Documentation and photographs were added to the conservation record.,STF315
TRT133,ART891,Re-framing,2016-03-06,2016-04-03,16120.54,Re-framing carried out due to frame instability; treatment resulted in removed active infestation. Documentation and photographs were added to the conservation record.,STF258
TRT134,ART777,Re-framing,2019-12-19,2020-01-29,34695.22,Re-framing carried out due to flaking paint layers; treatment resulted in minimized future deterioration risk. Documentation and photographs were added to the conservation record.,STF380
TRT135,ART324,Inpainting,2018-05-22,2018-07-18,4718.2,Inpainting carried out due to biological contamination; treatment resulted in reduced surface gloss variations. Documentation and photographs were added to the conservation record.,STF469
TRT136,ART424,Surface Cleaning,2013-04-27,2013-07-01,16410.36,Surface Cleaning carried out due to previous restoration discoloration; treatment resulted in removed active infestation. Documentation and photographs were added to the conservation record.,STF452
TRT137,ART842,Deacidification,2023-12-22,2024-04-01,25064.41,Deacidification carried out due to biological contamination; treatment resulted in reduced visual distraction. Documentation and photographs were added to the conservation record.,STF377
TRT138,ART654,Inpainting,2022-09-10,2022-12-05,7765.92,Inpainting carried out due to biological contamination; treatment resulted in stabilized paint layers. Documentation and photographs were added to the conservation record.,STF428
TRT139,ART837,Pest Treatment,2017-12-01,2018-03-25,29859.21,Pest Treatment carried out due to biological contamination; treatment resulted in improved legibility of image. Documentation and photographs were added to the conservation record.,STF514
TRT140,ART487,Inpainting,2011-09-18,2011-11-18,17644.08,Inpainting carried out due to light damage and fading; treatment resulted in enhanced color balance. Documentation and photographs were added to the conservation record.,STF499
TRT141,ART853,Pest Treatment,2017-02-27,2017-03-09,2785.75,Pest Treatment carried out due to biological contamination; treatment resulted in reduced visual distraction. Documentation and photographs were added to the conservation record.,STF366
TRT142,ART147,Structural Stabilization,2011-11-02,2012-01-02,32938.28,Structural Stabilization carried out due to frame instability; treatment resulted in minimized future deterioration risk. Documentation and photographs were added to the conservation record.,STF127
TRT143,ART546,Structural Stabilization,2014-07-30,2014-09-03,19009.95,Structural Stabilization carried out due to previous restoration discoloration; treatment resulted in minimized future deterioration risk. Documentation and photographs were added to the conservation record.,STF456
TRT144,ART747,Surface Cleaning,2018-02-28,2018-05-15,31394.72,Surface Cleaning carried out due to surface dust and grime; treatment resulted in improved legibility of image. Documentation and photographs were added to the conservation record.,STF450
TRT145,ART383,Surface Cleaning,2022-04-23,2022-07-27,7483.17,Surface Cleaning carried out due to panel cracking; treatment resulted in reduced visual distraction. Documentation and photographs were added to the conservation record.,STF481
TRT146,ART731,Inpainting,2021-12-13,2022-03-25,24541.99,Inpainting carried out due to frame instability; treatment resulted in reduced visual distraction. Documentation and photographs were added to the conservation record.,STF278
TRT147,ART727,Pest Treatment,2018-05-30,2018-09-24,1171.33,Pest Treatment carried out due to previous restoration discoloration; treatment resulted in reduced visual distraction. Documentation and photographs were added to the conservation record.,STF031
TRT148,ART215,Pest Treatment,2018-07-20,2018-09-10,31343.26,Pest Treatment carried out due to light damage and fading; treatment resulted in stabilized paint layers. Documentation and photographs were added to the conservation record.,STF227
TRT149,ART976,Deacidification,2016-06-25,2016-09-27,20852.41,Deacidification carried out due to biological contamination; treatment resulted in improved legibility of image. Documentation and photographs were added to the conservation record.,STF321
TRT150,ART642,Deacidification,2020-02-05,2020-05-01,33396.38,Deacidification carried out due to acidic backing board; treatment resulted in reduced visual distraction. Documentation and photographs were added to the conservation record.,STF538
TRT151,ART033,Pest Treatment,2015-08-30,2015-09-15,8745.65,Pest Treatment carried out due to acidic backing board; treatment resulted in improved legibility of image. Documentation and photographs were added to the conservation record.,STF282
